ID,Age,Gender,Education Level,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Emotional Intelligence,Risk Tolerance,Stress Resilience,Decision-Making Style,Motivation Type,Logical Reasoning,Verbal Ability,Numerical Ability,Creativity,Memory/Attention Span,Learning Style,Analytical Thinking,Communication,Leadership,Problem-Solving,Technical/Programming,Artistic/Design,Empathy & Counseling Ability,Negotiation/Persuasion,Entrepreneurial Drive,Domain-Specific Skill,Interests,Preferred Work Environment,Values & Motivators,Career Recommendation
238,20,Female,High School,10,3,4,5,1,8,3,2,Analytical,Mixed,5,7,8,10,6,Visual,4,6,10,5,8,7,4,4,4,"Fashion Design, Wildlife Conservation","Social Work, Design",Structured/Organized,"Impact, Creativity, Security",Supply Chain Manager
239,29,Male,Self-taught,10,5,4,6,8,6,10,7,Risk-averse,Extrinsic,2,5,8,3,6,Visual,2,6,2,8,8,7,1,5,6,Robotics,"Media, Sports, Agriculture",Hands-on/Fieldwork,"Stability, Adventure",Neuroscience Postdoc
240,18,Male,High School,7,6,4,1,3,6,3,3,Analytical,Intrinsic,8,9,5,5,3,Visual,5,5,5,5,2,7,3,8,8,Nutrition Science,"Teaching, Agriculture, Art, Public Policy",Creative/Artistic,"Recognition, Impact, Money",Digital Content Strategist
241,37,Female,Undergraduate,1,6,1,9,1,8,1,9,Analytical,Intrinsic,1,1,3,6,3,Reading/Writing,1,7,5,9,6,7,5,9,7,"Teaching Pedagogy, Surgery","Law, Agriculture, Science",Research-driven,"Impact, Stability, Adventure",Investment Banker
242,37,Female,Self-taught,2,1,3,8,4,2,8,4,Analytical,Intrinsic,9,4,9,8,7,Visual,2,4,6,2,5,2,9,5,5,Nutrition Science,"Social Work, Art, Science, Law",Hands-on/Fieldwork,"Recognition, Impact",Neuroscience Postdoc
243,26,Female,Undergraduate,1,9,4,10,7,5,5,4,Collaborative,Mixed,2,6,3,4,6,Reading/Writing,6,6,10,1,1,5,4,10,9,"Diplomacy, Fashion Design","Public Policy, Business, Defense",Team-oriented,"Freedom, Service",Curriculum Designer
244,41,Female,Graduate,8,9,5,5,8,7,8,6,Analytical,Extrinsic,2,9,5,1,4,Kinesthetic,10,8,9,1,10,2,7,9,6,Surgery,"Finance, Research",Fast-paced,"Freedom, Adventure, Creativity",Neuroscience Postdoc
245,38,Male,Vocational,6,8,4,7,10,1,3,10,Risk-averse,Extrinsic,8,2,4,4,1,Visual,4,3,8,1,8,5,8,1,3,Astrophysics,"AI, Research",Fast-paced,"Impact, Recognition",Media Producer
246,35,Female,Undergraduate,9,7,5,7,9,9,1,3,Intuitive,Intrinsic,3,5,9,7,6,Auditory,2,9,5,1,6,8,9,6,10,Diplomacy,"Media, Defense, Design",Team-oriented,"Recognition, Creativity, Stability",TV Anchor
247,27,Male,High School,2,4,4,3,2,5,10,8,Collaborative,Mixed,2,2,7,1,3,Reading/Writing,4,8,9,1,6,1,5,6,6,Cybersecurity,"Sports, Social Work, Literature",Hands-on/Fieldwork,"Creativity, Money",Pilot
248,43,Female,Undergraduate,9,7,9,5,1,3,3,3,Risk-averse,Intrinsic,10,5,9,8,2,Visual,3,8,6,5,8,1,10,10,5,"Nutrition Science, Film Direction","Software, Politics, Social Work",Independent,"Legacy, Freedom",Nutritionist
249,24,Male,Vocational,8,7,7,4,2,1,1,3,Intuitive,Extrinsic,2,8,4,1,8,Kinesthetic,4,8,3,7,10,8,8,1,10,"Hospital Management, Nutrition Science","Art, Hospitality",Creative/Artistic,"Recognition, Stability",Wildlife Conservationist
250,40,Female,Undergraduate,4,2,3,3,8,9,8,8,Risk-averse,Intrinsic,7,7,3,9,2,Visual,5,5,2,1,8,2,5,7,2,Teaching Pedagogy,"Science, Medicine",Independent,"Creativity, Security, Service",University Lecturer
251,41,Female,Graduate,1,8,4,4,6,10,6,3,Intuitive,Intrinsic,2,10,10,9,6,Auditory,6,1,2,5,7,9,2,3,10,"Surgery, Urban Planning","Design, Literature, Politics",Flexible Remote,"Adventure, Innovation",Medical Researcher
252,36,Male,High School,7,7,5,8,4,2,3,1,Intuitive,Extrinsic,10,2,3,1,1,Visual,8,6,3,6,7,7,1,6,9,Legal Writing,"Environment, Medicine, Politics",Flexible Remote,"Creativity, Money, Security",Biotech Researcher
253,43,Female,Self-taught,4,7,6,8,4,9,7,6,Collaborative,Intrinsic,9,4,1,2,6,Kinesthetic,10,4,8,6,9,9,1,5,6,"Legal Writing, Music Composition","Social Work, Literature, Software, Art",Creative/Artistic,"Creativity, Money, Growth",Financial Risk Consultant
254,31,Male,High School,9,9,6,10,1,9,1,1,Intuitive,Intrinsic,8,1,4,5,6,Auditory,10,8,10,6,4,8,1,1,7,"Cybersecurity, Urban Planning","Politics, Sports, Art, Research",Fast-paced,"Security, Service",Civil Servant
255,28,Female,Graduate,10,5,10,1,7,6,7,3,Intuitive,Intrinsic,7,7,2,5,10,Kinesthetic,4,9,7,3,4,5,10,4,9,"Journalism, Film Direction","AI, Public Policy, Agriculture",Structured/Organized,"Creativity, Service",Biotech Researcher
256,42,Female,PhD,2,7,1,4,3,1,9,6,Analytical,Intrinsic,5,3,3,1,2,Visual,4,8,4,10,4,6,5,4,5,"Hospital Management, Music Composition","Social Work, Media",Independent,"Stability, Creativity, Growth",Climate Scientist
257,37,Male,Graduate,6,6,8,9,10,1,3,9,Analytical,Extrinsic,10,3,2,8,4,Visual,2,10,2,1,8,9,3,4,1,Cybersecurity,"Hospitality, Art, Space",Flexible Remote,"Money, Innovation",Sports Analyst
258,34,Female,Undergraduate,6,1,2,5,7,8,9,10,Intuitive,Extrinsic,5,1,6,4,1,Reading/Writing,6,8,7,8,5,8,4,2,3,"Film Direction, Cybersecurity","Design, Art, Teaching",Structured/Organized,"Growth, Innovation, Creativity",Corporate Trainer
259,27,Female,High School,10,7,3,10,2,9,1,2,Collaborative,Intrinsic,6,5,10,4,10,Auditory,6,10,5,9,5,4,4,9,7,Data Analysis,"Environment, Public Policy",Structured/Organized,"Recognition, Service",Diplomatic Advisor
260,38,Female,PhD,4,7,5,3,6,8,1,8,Collaborative,Mixed,10,4,5,6,8,Reading/Writing,1,1,10,5,5,8,10,4,8,"Robotics, Fashion Design","Public Policy, Science, Agriculture, Design",Creative/Artistic,"Adventure, Service, Security",Financial Risk Consultant
261,19,Male,High School,3,1,9,4,9,10,5,4,Intuitive,Extrinsic,3,8,5,4,9,Reading/Writing,2,6,6,7,3,5,9,9,2,"Astrophysics, Film Direction","AI, Literature, Hospitality",Hands-on/Fieldwork,"Creativity, Stability",Renewable Energy Engineer
262,43,Male,Undergraduate,6,5,4,2,10,8,7,2,Analytical,Mixed,2,5,7,2,4,Visual,5,8,3,1,6,1,5,10,3,"Nutrition Science, Sports Training","Sports, Social Work, AI",Structured/Organized,"Innovation, Adventure",Fashion Stylist
263,39,Female,Graduate,8,10,1,4,10,6,6,4,Risk-averse,Intrinsic,6,8,7,2,2,Reading/Writing,9,7,6,1,4,8,2,10,4,"Hospital Management, Renewable Energy Systems","Law, Environment, Design",Hands-on/Fieldwork,"Service, Creativity",HR Specialist
264,18,Male,PhD,4,5,10,7,10,6,2,7,Analytical,Intrinsic,6,7,3,10,2,Auditory,4,8,4,10,9,4,8,8,6,"Diplomacy, Wildlife Conservation","Hospitality, Art, Finance",Structured/Organized,"Impact, Adventure",Interior Architect
265,19,Male,Graduate,7,4,5,6,6,1,2,10,Risk-averse,Intrinsic,2,3,8,10,9,Reading/Writing,2,7,8,3,3,1,8,8,8,"Fashion Design, Robotics","Software, Social Work, AI",Hands-on/Fieldwork,"Adventure, Innovation",Military Strategist
266,24,Male,High School,8,9,9,9,4,7,10,5,Intuitive,Intrinsic,4,10,9,2,7,Reading/Writing,2,1,2,9,3,5,9,1,8,"Urban Planning, Astrophysics","Environment, Defense, Space",Fast-paced,"Recognition, Service, Innovation",University Lecturer
267,32,Female,High School,8,5,5,4,1,10,10,2,Analytical,Mixed,9,10,3,6,6,Auditory,8,1,6,4,5,3,1,8,6,"Wildlife Conservation, Data Analysis","AI, Literature, Medicine, Software",Team-oriented,"Security, Service",Civil Servant
268,39,Male,Vocational,7,4,1,8,3,7,4,7,Collaborative,Mixed,4,9,2,7,2,Reading/Writing,10,7,8,9,5,7,1,5,4,"Teaching Pedagogy, Surgery","Public Policy, Research",Structured/Organized,"Adventure, Freedom",Nutritionist
269,43,Male,Vocational,3,1,7,5,4,3,9,7,Collaborative,Mixed,9,4,4,8,3,Reading/Writing,5,6,5,2,7,8,6,1,9,Wildlife Conservation,"Environment, Defense, Hospitality",Flexible Remote,"Growth, Legacy, Stability",Athletic Coach
270,39,Male,Self-taught,2,3,7,7,2,10,3,3,Collaborative,Intrinsic,6,4,2,6,7,Kinesthetic,8,9,4,7,6,5,10,7,8,"Astrophysics, Surgery","Teaching, Medicine",Creative/Artistic,"Recognition, Impact, Legacy",Human Rights Advocate
271,31,Male,Vocational,6,6,6,8,1,10,5,7,Intuitive,Extrinsic,5,10,7,10,2,Visual,8,7,1,9,3,7,7,3,6,"Nutrition Science, Teaching Pedagogy","AI, Defense, Software, Business",Fast-paced,"Recognition, Money, Freedom",Product Manager
272,38,Female,Undergraduate,8,7,8,9,7,7,6,4,Analytical,Mixed,5,9,3,10,8,Reading/Writing,10,10,1,6,7,9,4,9,2,"Renewable Energy Systems, Sports Training","Art, Finance",Independent,"Growth, Security, Recognition",Diplomatic Advisor
273,33,Male,Vocational,6,9,3,1,6,2,3,2,Collaborative,Intrinsic,8,5,8,5,5,Kinesthetic,3,9,10,1,10,1,9,10,7,Hospital Management,"Software, Social Work, Public Policy, Literature",Hands-on/Fieldwork,"Freedom, Recognition",Military Strategist
274,33,Male,Undergraduate,5,4,8,7,2,2,9,7,Analytical,Extrinsic,10,3,1,1,5,Reading/Writing,7,4,4,3,1,10,4,4,1,"Urban Planning, Fashion Design","Design, Teaching, Law",Structured/Organized,"Legacy, Growth",Climate Scientist
275,37,Male,PhD,6,3,6,2,10,3,3,6,Intuitive,Extrinsic,10,1,3,6,8,Auditory,9,9,6,5,7,3,4,8,10,"Data Analysis, Music Composition","Politics, Business, Science",Research-driven,"Innovation, Adventure, Recognition",Clinical Psychologist
276,33,Male,Undergraduate,4,3,7,2,1,1,3,2,Collaborative,Extrinsic,10,2,1,4,3,Kinesthetic,2,1,5,1,9,4,9,3,7,"Nutrition Science, Architecture","Sports, Law, Finance, Environment",Creative/Artistic,"Impact, Stability",Sports Analyst
277,18,Female,PhD,6,2,3,2,6,7,4,1,Collaborative,Mixed,7,5,8,7,5,Visual,1,4,6,8,7,7,7,5,7,Renewable Energy Systems,"Software, Teaching",Structured/Organized,"Adventure, Creativity",Corporate Trainer
278,23,Female,High School,5,7,4,2,3,5,5,9,Risk-averse,Mixed,7,2,10,3,8,Visual,1,7,4,9,9,7,8,4,1,"Sports Training, Wildlife Conservation","Public Policy, Media",Flexible Remote,"Money, Impact, Stability",Hotel Manager
279,25,Male,Vocational,3,7,10,8,6,2,5,8,Analytical,Intrinsic,6,2,8,4,8,Visual,8,10,2,4,5,1,7,1,4,"Nutrition Science, Hospital Management","Hospitality, Agriculture",Creative/Artistic,"Creativity, Freedom",Product Manager
280,20,Male,Graduate,2,5,8,2,6,8,8,5,Risk-averse,Intrinsic,10,1,7,7,5,Auditory,2,5,7,7,8,3,5,9,9,Teaching Pedagogy,"Art, Sports",Flexible Remote,"Impact, Service, Adventure",Civil Servant
281,29,Male,High School,9,2,2,5,9,1,4,10,Analytical,Extrinsic,6,4,9,1,9,Kinesthetic,5,6,10,3,2,10,10,3,10,Architecture,"Business, Teaching, Art",Flexible Remote,"Security, Adventure",Neuroscience Postdoc
282,29,Male,PhD,8,2,1,4,9,7,4,1,Intuitive,Intrinsic,6,8,4,10,3,Kinesthetic,1,1,7,9,2,4,5,2,9,Cybersecurity,"Social Work, Agriculture, Space",Team-oriented,"Legacy, Freedom, Stability",Game Concept Artist
283,27,Male,Self-taught,8,3,3,1,1,1,2,10,Analytical,Intrinsic,10,7,9,9,7,Auditory,8,9,1,8,4,2,7,5,2,"Hospital Management, Wildlife Conservation","Sports, Social Work",Structured/Organized,"Impact, Stability, Creativity",Corporate Lawyer
284,40,Female,PhD,1,6,9,10,5,8,8,6,Risk-averse,Intrinsic,1,10,6,9,8,Auditory,10,1,8,7,9,9,5,8,4,"Diplomacy, Film Direction","Art, Public Policy",Creative/Artistic,"Stability, Impact, Creativity",Financial Risk Consultant
285,28,Male,Undergraduate,4,4,9,10,10,7,10,1,Analytical,Intrinsic,10,10,6,2,5,Auditory,5,7,1,7,5,8,7,4,4,Music Composition,"Art, Public Policy, AI, Design",Creative/Artistic,"Adventure, Growth, Innovation",Human Rights Advocate
286,38,Female,PhD,6,9,9,2,2,4,9,10,Collaborative,Extrinsic,8,10,10,3,6,Reading/Writing,3,3,9,4,6,9,5,5,5,Urban Planning,"Environment, Software, AI",Team-oriented,"Service, Freedom, Creativity",Chef
287,45,Male,Undergraduate,2,7,9,5,8,7,10,3,Collaborative,Intrinsic,5,4,3,7,5,Reading/Writing,8,3,5,4,9,5,6,10,10,Architecture,"Environment, Teaching",Team-oriented,"Stability, Service, Recognition",Wildlife Conservationist
288,18,Male,High School,4,3,3,2,8,8,4,8,Collaborative,Extrinsic,1,1,4,6,1,Reading/Writing,9,2,2,8,2,1,8,9,7,Legal Writing,"Space, Media",Independent,"Service, Growth",Pilot
289,45,Female,Undergraduate,1,9,6,7,8,9,7,4,Collaborative,Extrinsic,2,2,2,10,4,Kinesthetic,4,2,2,10,7,8,3,5,5,Robotics,"Public Policy, Finance, Defense, Agriculture",Fast-paced,"Freedom, Growth",Financial Risk Consultant
290,42,Female,High School,3,2,9,10,10,8,10,2,Risk-averse,Intrinsic,4,4,2,3,10,Kinesthetic,1,6,1,9,8,3,8,6,9,Cybersecurity,"Art, Environment, AI, Social Work",Research-driven,"Legacy, Money",Judge’s Clerk
291,32,Male,PhD,3,3,6,2,7,4,10,6,Analytical,Intrinsic,1,3,2,6,1,Auditory,5,2,9,2,5,3,8,8,6,"Film Direction, Music Composition","Research, Environment, Software",Research-driven,"Money, Impact",Urban Planner
292,28,Male,Undergraduate,10,9,4,3,7,10,10,10,Collaborative,Extrinsic,9,3,7,1,6,Reading/Writing,10,2,4,7,2,2,3,6,5,Nutrition Science,"Social Work, Sports, Medicine",Fast-paced,"Service, Money",Environmental Policy Consultant
293,16,Male,Vocational,9,2,5,8,10,10,8,7,Intuitive,Mixed,7,10,10,10,2,Auditory,8,7,10,6,10,8,1,3,4,"Fashion Design, Architecture","AI, Sports, Science",Fast-paced,"Security, Creativity",Medical Researcher
294,42,Female,Self-taught,9,10,2,5,4,2,6,5,Analytical,Mixed,10,7,10,3,6,Reading/Writing,3,9,7,4,10,2,5,10,10,"Film Direction, Sports Training","Public Policy, Environment, Sports, Design",Research-driven,"Recognition, Money, Stability",Climate Scientist
295,41,Male,Self-taught,5,7,2,10,4,3,6,2,Intuitive,Mixed,2,3,8,9,4,Auditory,10,4,7,1,10,8,3,1,5,"Data Analysis, Fashion Design","Business, Defense, Science",Flexible Remote,"Freedom, Creativity, Impact",Diplomatic Advisor
296,27,Female,Self-taught,10,8,6,6,8,10,3,1,Risk-averse,Mixed,8,1,4,6,5,Visual,7,9,8,9,7,9,9,4,8,Wildlife Conservation,"Finance, Media, Defense",Fast-paced,"Legacy, Money",Investigative Journalist
297,38,Female,Undergraduate,2,3,7,7,8,5,4,10,Collaborative,Mixed,6,8,1,5,10,Visual,5,8,2,8,5,2,7,1,6,Diplomacy,"Finance, AI",Creative/Artistic,"Recognition, Adventure",Film Director
298,33,Female,Vocational,10,2,8,8,1,6,1,9,Risk-averse,Intrinsic,4,1,9,10,3,Reading/Writing,2,7,2,5,4,4,6,8,9,"Robotics, Fashion Design","Space, Politics, Finance",Independent,"Security, Legacy",Space Mission Engineer
299,16,Male,Vocational,1,2,6,7,10,4,4,8,Collaborative,Intrinsic,3,10,6,7,8,Auditory,8,3,9,10,2,4,2,5,5,Data Analysis,"Software, Sports, Social Work",Independent,"Freedom, Legacy",Film Director
300,16,Male,High School,6,9,1,9,8,10,9,7,Risk-averse,Mixed,5,1,7,3,2,Auditory,8,4,9,7,1,3,1,1,8,"Music Composition, Sports Training","Media, Design",Team-oriented,"Stability, Money, Legacy",Special Education Specialist
301,31,Female,Undergraduate,9,6,5,5,9,8,8,10,Analytical,Mixed,1,8,7,7,10,Kinesthetic,8,10,4,4,7,8,7,7,5,Diplomacy,"Teaching, Agriculture",Team-oriented,"Stability, Freedom",Financial Risk Consultant
302,33,Male,Undergraduate,10,8,9,7,2,4,4,10,Risk-averse,Intrinsic,1,2,3,7,5,Auditory,10,4,10,9,5,9,7,9,1,Film Direction,"Public Policy, Software, Sports",Flexible Remote,"Adventure, Service, Security",Game Concept Artist
303,41,Male,Vocational,1,5,7,10,2,4,1,2,Analytical,Mixed,10,7,9,9,2,Auditory,10,7,4,3,3,10,1,2,10,"Hospital Management, Legal Writing","Social Work, Design, Defense, Medicine",Hands-on/Fieldwork,"Freedom, Legacy",TV Anchor
304,21,Male,High School,6,5,7,7,3,10,5,2,Intuitive,Mixed,8,9,10,4,4,Auditory,2,4,8,1,6,10,2,8,8,"Cybersecurity, Surgery","Politics, Finance, Art, Design",Creative/Artistic,"Security, Legacy",Cyber-Forensics Expert
305,16,Female,Self-taught,8,4,1,3,6,2,6,2,Intuitive,Extrinsic,3,3,3,1,7,Kinesthetic,1,6,9,9,7,7,9,1,5,Legal Writing,"Hospitality, Design, Space, Medicine",Fast-paced,"Stability, Growth",Wildlife Conservationist
306,45,Male,Undergraduate,4,8,5,3,7,5,8,4,Collaborative,Mixed,2,7,8,7,10,Auditory,10,5,2,8,2,6,4,6,3,Teaching Pedagogy,"Research, Medicine, Space, Politics",Creative/Artistic,"Stability, Legacy, Security",Renewable Energy Engineer
307,41,Female,Undergraduate,5,8,3,4,1,2,8,3,Analytical,Mixed,8,3,7,3,8,Auditory,10,3,9,1,1,10,6,5,4,Legal Writing,"Medicine, Public Policy, Literature, Art",Independent,"Creativity, Security",Judge’s Clerk
308,32,Female,Vocational,4,9,1,4,5,6,6,7,Collaborative,Mixed,7,1,8,4,8,Reading/Writing,1,8,5,6,5,2,10,8,10,Fashion Design,"Hospitality, Design",Flexible Remote,"Adventure, Money, Stability",Wildlife Conservationist
309,30,Female,Vocational,8,3,7,10,6,6,2,7,Collaborative,Mixed,9,10,10,6,9,Auditory,6,4,1,3,8,1,6,4,6,Wildlife Conservation,"Media, Social Work, Design",Fast-paced,"Service, Adventure, Security",Hotel Manager
310,26,Male,PhD,8,9,2,4,7,2,10,4,Intuitive,Mixed,4,5,10,8,2,Kinesthetic,9,8,6,2,7,8,3,9,8,"Urban Planning, Data Analysis","Social Work, Agriculture",Hands-on/Fieldwork,"Creativity, Money",Environmental Policy Consultant
311,36,Male,High School,2,1,9,2,6,8,3,5,Analytical,Extrinsic,5,1,3,10,4,Auditory,10,6,4,7,2,7,7,2,5,Renewable Energy Systems,"Defense, Science",Research-driven,"Money, Growth",Neuroscience Postdoc
312,22,Female,High School,1,1,5,1,3,3,8,5,Collaborative,Intrinsic,10,4,6,5,7,Visual,4,8,8,6,3,5,5,2,10,"Diplomacy, Urban Planning","Science, Space, Business, Software",Team-oriented,"Security, Service",Civil Servant
313,29,Male,Graduate,2,10,1,4,7,9,9,10,Risk-averse,Extrinsic,5,2,5,8,8,Kinesthetic,2,7,6,3,8,7,9,2,6,Diplomacy,"Teaching, Environment",Structured/Organized,"Legacy, Freedom, Stability",Financial Risk Consultant
314,45,Male,Self-taught,10,10,9,4,4,4,1,7,Intuitive,Mixed,4,9,1,1,10,Reading/Writing,6,10,1,2,6,6,6,3,5,Film Direction,"Art, Public Policy, Sports",Flexible Remote,"Service, Adventure",Sports Physiotherapist
315,18,Male,Self-taught,8,3,1,1,10,1,7,8,Intuitive,Extrinsic,3,6,8,4,7,Reading/Writing,9,6,4,1,2,3,3,10,8,Data Analysis,"AI, Media, Public Policy, Art",Flexible Remote,"Legacy, Service",Diplomatic Advisor
316,24,Male,Graduate,10,9,1,9,7,8,1,8,Collaborative,Mixed,3,4,1,2,6,Auditory,6,6,5,10,2,1,5,8,2,Legal Writing,"Medicine, Sports, Defense",Flexible Remote,"Stability, Impact",Robotics Engineer
317,27,Female,Graduate,10,9,5,4,2,2,10,7,Intuitive,Mixed,1,2,10,6,1,Kinesthetic,5,9,6,3,3,4,5,1,8,"Renewable Energy Systems, Robotics","Public Policy, Software",Creative/Artistic,"Recognition, Security",Hotel Manager
318,18,Male,PhD,10,9,2,2,9,8,10,8,Risk-averse,Mixed,9,7,10,2,4,Kinesthetic,7,4,2,3,7,10,3,9,10,Astrophysics,"Social Work, Teaching, Medicine, Software",Flexible Remote,"Impact, Creativity",Climate Scientist
319,22,Male,Self-taught,1,7,4,1,4,10,9,6,Collaborative,Mixed,4,1,8,1,3,Visual,10,7,4,9,5,4,4,9,1,"Astrophysics, Surgery","Teaching, Finance, Space",Hands-on/Fieldwork,"Service, Money, Creativity",Marketing Strategist
320,20,Female,Undergraduate,10,2,1,1,6,4,1,6,Risk-averse,Mixed,8,10,3,8,3,Visual,8,5,10,8,2,10,1,5,8,"Wildlife Conservation, Nutrition Science","Literature, AI, Media, Finance",Fast-paced,"Service, Impact, Creativity",Interior Architect
321,37,Male,High School,9,7,8,6,6,9,5,1,Intuitive,Intrinsic,4,3,4,6,10,Visual,8,5,8,9,5,3,5,6,2,"Surgery, Fashion Design","Agriculture, Teaching, Media",Flexible Remote,"Stability, Service",Urban Planner
322,22,Male,Vocational,4,4,8,9,9,1,5,5,Risk-averse,Extrinsic,1,10,3,10,7,Visual,10,3,6,7,2,1,3,2,9,"Robotics, Hospital Management","Design, Environment, Public Policy",Independent,"Legacy, Stability",Nutritionist
323,26,Female,Vocational,8,3,7,5,4,7,6,10,Risk-averse,Mixed,6,5,2,2,4,Reading/Writing,8,6,2,8,9,1,6,5,6,"Legal Writing, Wildlife Conservation","Teaching, Software, Art, Hospitality",Creative/Artistic,"Adventure, Security",Supply Chain Manager
324,21,Male,Vocational,10,10,3,10,2,3,8,9,Analytical,Extrinsic,4,2,10,6,8,Auditory,4,10,7,7,7,6,3,4,9,"Nutrition Science, Sports Training","Environment, AI",Creative/Artistic,"Money, Growth, Adventure",Graphic Designer
325,18,Female,Undergraduate,4,9,7,4,10,10,2,1,Collaborative,Extrinsic,6,4,6,5,5,Kinesthetic,5,3,10,3,10,9,3,9,6,"Teaching Pedagogy, Data Analysis","Finance, Media",Hands-on/Fieldwork,"Creativity, Stability",Diplomat
326,33,Male,High School,8,9,10,7,2,4,7,1,Intuitive,Mixed,7,9,3,2,10,Kinesthetic,7,8,1,4,3,7,10,6,1,"Diplomacy, Data Analysis","Social Work, Art",Structured/Organized,"Impact, Freedom, Stability",Game Concept Artist
327,16,Female,Undergraduate,1,5,6,3,10,10,6,5,Risk-averse,Intrinsic,5,1,1,3,9,Auditory,4,3,2,10,7,2,7,2,4,Legal Writing,"Teaching, AI",Hands-on/Fieldwork,"Money, Recognition, Impact",Medical Researcher
328,24,Male,Vocational,4,10,6,4,7,1,8,8,Analytical,Intrinsic,4,9,8,8,5,Auditory,9,5,4,5,1,10,5,9,6,"Legal Writing, Sports Training","Finance, Art, Media",Fast-paced,"Money, Freedom, Creativity",High School Physics Teacher
329,21,Male,PhD,6,2,3,9,8,10,4,5,Intuitive,Mixed,1,3,4,2,1,Kinesthetic,10,1,2,6,8,1,7,7,6,"Teaching Pedagogy, Renewable Energy Systems","Medicine, Law, Business",Fast-paced,"Service, Creativity",Biotech Researcher
330,18,Female,Self-taught,1,3,6,1,7,3,9,4,Analytical,Extrinsic,8,3,2,6,9,Visual,4,6,5,5,3,2,1,5,10,Music Composition,"Defense, AI, Medicine",Team-oriented,"Adventure, Recognition, Impact",Wildlife Conservationist
331,30,Male,Undergraduate,2,5,9,7,5,8,6,3,Intuitive,Extrinsic,10,5,1,8,3,Visual,3,3,1,6,7,8,3,1,10,Journalism,"Social Work, Science, Environment",Hands-on/Fieldwork,"Money, Security, Service",Tax Advisor
332,19,Male,Self-taught,7,4,3,5,2,5,3,2,Intuitive,Mixed,10,1,8,5,3,Reading/Writing,5,5,9,10,7,8,9,8,9,"Film Direction, Hospital Management","Law, Media, Business, Literature",Independent,"Service, Freedom, Adventure",Neuroscience Postdoc
333,44,Female,Vocational,6,1,5,4,1,5,7,4,Intuitive,Intrinsic,1,2,2,8,10,Reading/Writing,5,6,7,5,7,5,7,1,4,"Robotics, Renewable Energy Systems","Defense, Art, Hospitality",Structured/Organized,"Innovation, Recognition, Freedom",Cybersecurity Analyst
334,21,Female,Self-taught,2,9,4,9,10,4,2,1,Intuitive,Extrinsic,1,10,4,5,5,Auditory,10,9,9,7,4,10,7,7,7,"Renewable Energy Systems, Astrophysics","Literature, Medicine, Hospitality",Creative/Artistic,"Freedom, Creativity",Agritech Specialist
335,16,Female,Graduate,1,1,3,3,4,1,7,2,Risk-averse,Mixed,6,8,9,3,6,Reading/Writing,9,10,2,7,5,4,10,4,1,Urban Planning,"Literature, Law",Research-driven,"Legacy, Freedom, Growth",High School Physics Teacher
336,44,Male,Undergraduate,3,10,9,1,2,7,10,10,Risk-averse,Intrinsic,9,8,8,8,4,Reading/Writing,3,10,5,9,1,8,2,4,3,"Astrophysics, Teaching Pedagogy","Politics, Art, Sports, Medicine",Research-driven,"Security, Stability",Data Scientist
337,25,Female,Vocational,8,6,9,3,3,9,1,9,Analytical,Mixed,9,7,5,5,9,Reading/Writing,10,1,9,9,7,7,8,10,6,Sports Training,"Business, Agriculture, Design, Literature",Independent,"Money, Creativity",Biotech Researcher
338,33,Female,Graduate,6,3,7,2,2,10,3,6,Analytical,Intrinsic,9,8,5,6,4,Auditory,1,3,3,3,8,5,4,4,10,"Nutrition Science, Renewable Energy Systems","Social Work, Media, Teaching",Structured/Organized,"Service, Money, Freedom",Nutritionist
339,26,Male,Graduate,3,1,2,4,10,7,6,7,Intuitive,Mixed,9,8,6,8,6,Reading/Writing,10,4,2,8,5,1,10,10,10,Wildlife Conservation,"Sports, Agriculture, Teaching",Team-oriented,"Legacy, Adventure",Media Producer
340,43,Female,PhD,7,8,8,8,4,5,9,9,Collaborative,Intrinsic,3,4,2,10,2,Auditory,2,4,3,7,5,1,7,8,8,Journalism,"Design, Public Policy, Art, Defense",Hands-on/Fieldwork,"Freedom, Creativity",Digital Content Strategist
341,27,Female,Vocational,9,2,2,6,6,7,9,5,Intuitive,Extrinsic,5,7,7,1,6,Auditory,9,10,6,3,5,2,7,9,8,Teaching Pedagogy,"Social Work, Software",Research-driven,"Growth, Innovation, Security",Curriculum Designer
342,43,Female,PhD,4,9,10,1,10,9,6,2,Intuitive,Extrinsic,9,4,5,4,5,Reading/Writing,9,2,10,3,3,6,6,1,8,"Surgery, Legal Writing","Teaching, Law, Sports",Flexible Remote,"Recognition, Security, Service",Human Rights Advocate
343,44,Female,High School,1,10,6,5,10,2,2,1,Risk-averse,Mixed,4,10,10,3,1,Visual,3,2,5,6,3,7,6,7,1,"Hospital Management, Film Direction","Software, Literature, Media",Flexible Remote,"Growth, Adventure, Security",Hotel Manager
344,21,Female,High School,8,1,9,10,6,6,4,3,Risk-averse,Intrinsic,3,8,2,4,10,Visual,6,6,7,3,9,9,1,9,4,Architecture,"Social Work, Sports, Agriculture",Research-driven,"Money, Stability, Adventure",eSports Manager
345,40,Male,Graduate,3,10,6,2,8,2,1,9,Analytical,Mixed,5,8,6,1,3,Auditory,4,2,5,2,3,2,5,2,7,Renewable Energy Systems,"Software, Space, Agriculture",Flexible Remote,"Money, Legacy",Biomedical Engineer
